1.000000000000000000e+03,7.130000000000000000e+02
1.000100000000000023e+03,7.128999999999999773e+02
1.000200000000000045e+03,7.127999999999999545e+02
1.000300000000000068e+03,7.126999999999999318e+02
1.000400000000000091e+03,7.125999999999999091e+02
1.000500000000000114e+03,7.124999999999998863e+02
1.000600000000000136e+03,7.123999999999998636e+02
1.000700000000000159e+03,7.122999999999998408e+02
1.000800000000000182e+03,7.121999999999998181e+02
1.000900000000000205e+03,7.120999999999997954e+02
1.001000000000000227e+03,7.120000000000000000e+02
1.001100000000000250e+03,7.120153846153846189e+02
1.001200000000000273e+03,7.120307692307692378e+02
1.001300000000000296e+03,7.120461538461538566e+02
1.001400000000000318e+03,7.120615384615384755e+02
1.001500000000000341e+03,7.120769230769230944e+02
1.001600000000000364e+03,7.120923076923077133e+02
1.001700000000000387e+03,7.121076923076923322e+02
1.001800000000000409e+03,7.121230769230769511e+02
1.001900000000000432e+03,7.121384615384615699e+02
1.002000000000000455e+03,7.121538461538461888e+02
1.002100000000000477e+03,7.121692307692308077e+02
1.002200000000000500e+03,7.121846153846154266e+02
1.002300000000000523e+03,7.122000000000000455e+02
1.002400000000000546e+03,7.122153846153846644e+02
1.002500000000000568e+03,7.122307692307692832e+02
1.002600000000000591e+03,7.122461538461539021e+02
1.002700000000000614e+03,7.122615384615385210e+02
1.002800000000000637e+03,7.122769230769231399e+02
1.002900000000000659e+03,7.122923076923077588e+02
1.003000000000000682e+03,7.123076923076923777e+02
1.003100000000000705e+03,7.123230769230769965e+02
1.003200000000000728e+03,7.123384615384616154e+02
1.003300000000000750e+03,7.123538461538462343e+02
1.003400000000000773e+03,7.123692307692308532e+02
1.003500000000000796e+03,7.123846153846154721e+02
1.003600000000000819e+03,7.124000000000000909e+02
1.003700000000000841e+03,7.124153846153847098e+02
1.003800000000000864e+03,7.124307692307693287e+02
1.003900000000000887e+03,7.124461538461539476e+02
1.004000000000000909e+03,7.124615384615385665e+02
1.004100000000000932e+03,7.124769230769231854e+02
1.004200000000000955e+03,7.124923076923078042e+02
1.004300000000000978e+03,7.125076923076924231e+02
1.004400000000001000e+03,7.125230769230770420e+02
1.004500000000001023e+03,7.125384615384616609e+02
1.004600000000001046e+03,7.125538461538462798e+02
1.004700000000001069e+03,7.125692307692308987e+02
1.004800000000001091e+03,7.125846153846155175e+02
1.004900000000001114e+03,7.126000000000001364e+02
1.005000000000001137e+03,7.126153846153847553e+02
1.005100000000001160e+03,7.126307692307693742e+02
1.005200000000001182e+03,7.126461538461539931e+02
1.005300000000001205e+03,7.126615384615386120e+02
1.005400000000001228e+03,7.126769230769232308e+02
1.005500000000001251e+03,7.126923076923078497e+02
