1.305099999999999909e+03,7.198333333333334849e+02
1.305199999999999818e+03,7.196666666666669698e+02
1.305299999999999727e+03,7.195000000000004547e+02
1.305399999999999636e+03,7.193333333333339397e+02
1.305499999999999545e+03,7.191666666666674246e+02
1.305599999999999454e+03,7.190000000000009095e+02
1.305699999999999363e+03,7.188333333333343944e+02
1.305799999999999272e+03,7.186666666666678793e+02
1.305899999999999181e+03,7.185000000000013642e+02
1.305999999999999091e+03,7.183333333333348492e+02
1.306099999999999000e+03,7.181666666666683341e+02
1.306199999999998909e+03,7.180000000000018190e+02
1.306299999999998818e+03,7.178333333333353039e+02
1.306399999999998727e+03,7.176666666666687888e+02
1.306499999999998636e+03,7.175000000000022737e+02
1.306599999999998545e+03,7.173333333333357587e+02
1.306699999999998454e+03,7.171666666666692436e+02
1.306799999999998363e+03,7.170000000000027285e+02
1.306899999999998272e+03,7.168333333333362134e+02
1.306999999999998181e+03,7.166666666666696983e+02
1.307099999999998090e+03,7.165000000000031832e+02
1.307199999999997999e+03,7.163333333333366681e+02
1.307299999999997908e+03,7.161666666666701531e+02
1.307399999999997817e+03,7.160000000000036380e+02
1.307499999999997726e+03,7.158333333333371229e+02
1.307599999999997635e+03,7.156666666666706078e+02
1.307699999999997544e+03,7.155000000000040927e+02
1.307799999999997453e+03,7.153333333333375776e+02
1.307899999999997362e+03,7.151666666666710626e+02
1.307999999999997272e+03,7.150000000000045475e+02
1.308099999999997181e+03,7.151199999999965939e+02
1.308199999999997090e+03,7.152399999999964848e+02
1.308299999999996999e+03,7.153599999999963757e+02
1.308399999999996908e+03,7.154799999999962665e+02
1.308499999999996817e+03,7.155999999999961574e+02
1.308599999999996726e+03,7.157199999999960482e+02
1.308699999999996635e+03,7.158399999999959391e+02
1.308799999999996544e+03,7.159599999999958300e+02
1.308899999999996453e+03,7.160799999999957208e+02
1.308999999999996362e+03,7.161999999999956117e+02
1.309099999999996271e+03,7.163199999999955025e+02
1.309199999999996180e+03,7.164399999999953934e+02
1.309299999999996089e+03,7.165599999999952843e+02
1.309399999999995998e+03,7.166799999999951751e+02
1.309499999999995907e+03,7.167999999999950660e+02
1.309599999999995816e+03,7.169199999999949569e+02
1.309699999999995725e+03,7.170399999999948477e+02
1.309799999999995634e+03,7.171599999999947386e+02
1.309899999999995543e+03,7.172799999999946294e+02
1.309999999999995453e+03,7.173999999999945203e+02
1.310099999999995362e+03,7.175199999999944112e+02
1.310199999999995271e+03,7.176399999999943020e+02
1.310299999999995180e+03,7.177599999999941929e+02
1.310399999999995089e+03,7.178799999999940837e+02
1.310499999999994998e+03,7.179999999999939746e+02
1.310599999999994907e+03,7.181199999999938655e+02
1.310699999999994816e+03,7.182399999999937563e+02
1.310799999999994725e+03,7.183599999999936472e+02
1.310899999999994634e+03,7.184799999999935380e+02
1.310999999999994543e+03,7.185999999999934289e+02
1.311099999999994452e+03,7.187199999999933198e+02
